method,mechanism,ratio,mean,std,count
mar,knn,05.parquet,0.8302816152572632,,1
mar,knn,15.parquet,0.771882951259613,,1
mar,knn,30.parquet,0.6890515685081482,,1
mar,simple,most,0.9930306474367777,0.10613767131217575,3
mar,simple,placeholder,0.9862849315007528,0.10350108477736311,3
mcar,knn,05.parquet,0.836039125919342,,1
mcar,knn,15.parquet,0.791068971157074,,1
mcar,knn,30.parquet,0.7359805107116699,,1
mcar,simple,most,0.9897758960723877,0.09615701319318401,3
mcar,simple,placeholder,0.9862007101376852,0.09735629281065467,3
